time,watts,cadence,distance,altitude,lat,lng,velocity_smooth,temp,torque,left_right_balance
0,0,,,,,,,,,
1,0,,,,,,,,,
2,0,,,,,,,,,
3,0,,,,,,,22,,
4,0,,,,,,,22,,
5,0,,,,,,,22,,
6,0,,,,,,,22,,
7,0,,,,,,,22,,
8,0,,,,,,,22,,
9,0,,,,,,,22,,
10,210,42,,,,,,22,48,52
11,218,46,,,,,,22,45,53
12,228,51,,,,,,22,43,53
13,242,55,,,,,,22,42,52
14,255,59,,,,,,22,41,52
15,265,62,,,,,,22,41,52
16,269,66,,,,,,22,39,52
17,268,70,,,,,,22,37,53
18,261,75,,,,,,22,33,54
19,233,77,,,,,,22,29,54
20,186,79,,,,,,22,22,53
21,145,81,,,,,,22,17,55
22,123,81,,,,,,22,15,52
23,114,81,,,,,,22,13,51
24,113,82,,,,,,22,13,53
25,114,81,,,,,,22,13,52
26,115,81,,,,,,22,14,52
27,119,81,,,,,,22,14,53
28,129,81,,,,,,22,15,54
29,150,80,,,,,,22,18,52
30,176,81,,,,,,22,21,50
31,189,81,,,,,,22,22,51
32,181,82,,,,,,22,21,53
33,162,83,,,,,,22,19,54
34,147,83,,,,,,22,17,54
35,141,83,,,,,,22,16,55
36,138,83,,,,,,22,16,54
37,136,83,0.0,,52.339954,4.916032,7.786,22,16,53
38,118,82,3.73,,52.33995,4.9159775,7.786,22,14,54
39,102,82,7.46,,52.339943,4.915923,7.786,23,12,54
40,67,53,17.02,,52.339928,4.915786,7.786,23,12,57
41,0,0,26.14,,52.339912,4.915654,7.78,23,0,56
42,0,0,33.38,,52.3399,4.9155493,7.748,23,0,54
43,0,0,40.49,,52.33989,4.9154468,7.714,23,0,53
44,0,0,47.57,,52.339874,4.915345,7.421,23,0,52
45,0,0,54.37,,52.339863,4.9152484,7.112,23,0,51
46,0,0,60.98,,52.339848,4.9151535,7.005,23,0,50
47,0,0,67.34,,52.339832,4.9150634,6.462,23,0,49
48,0,0,73.78,,52.339817,4.914974,6.389,23,0,48
49,31,69,80.56,,52.33979,4.9148827,6.49,23,4,47
50,73,44,87.45,,52.339764,4.914792,6.644,23,16,47
51,0,0,93.14,,52.339737,4.914721,6.588,23,0,49
52,0,0,99.34,,52.33971,4.9146457,6.505,23,0,50
53,18,77,105.47,,52.339676,4.9145746,6.486,23,2,52
54,51,66,111.66,,52.339638,4.9145055,6.435,23,7,54
55,125,65,117.83,,52.3396,4.914437,6.371,23,18,56
56,142,67,124.24,,52.33956,4.914366,6.342,23,20,54
57,140,67,130.63,,52.339527,4.9142942,6.36,23,20,54
58,136,68,137.3,,52.33949,4.914217,6.4,23,19,54
59,133,68,143.99,,52.33945,4.9141383,6.387,23,19,56
60,138,68,150.38,,52.33942,4.914061,6.342,23,19,55
61,147,67,156.69,,52.33939,4.9139843,6.314,23,21,56
62,172,66,162.74,,52.33936,4.9139104,6.19,23,25,57
63,169,64,168.38,,52.339333,4.9138403,6.104,23,25,54
64,149,60,173.9,,52.339306,4.913772,6.203,23,24,53
65,138,60,179.84,,52.339275,4.913699,6.275,23,22,52
66,121,64,186.05,,52.33925,4.9136224,6.342,23,18,55
67,116,68,192.79,,52.339214,4.913539,6.557,23,16,52
68,98,66,199.85,,52.33918,4.9134526,6.925,23,14,50
69,114,64,206.66,,52.339146,4.9133706,6.756,23,17,51
70,142,67,213.22,,52.33911,4.9132924,6.431,23,20,52
71,144,70,219.67,,52.339077,4.9132137,6.361,23,20,54
72,144,68,225.61,,52.33905,4.913141,6.159,23,20,58
73,170,66,230.8,,52.339016,4.913088,5.716,23,25,62
74,224,66,236.05,,52.338974,4.913055,5.481,23,32,63
75,274,68,241.78,,52.338924,4.913034,5.549,23,38,57
76,294,69,247.61,,52.33887,4.91302,5.738,23,41,55
77,291,72,253.19,,52.33882,4.913015,5.799,23,39,53
78,268,72,258.62,,52.338776,4.913021,5.686,23,36,52
79,217,71,264.0,,52.338726,4.913038,5.654,23,29,51
80,173,69,269.06,,52.33868,4.9130445,5.583,23,24,48
81,176,68,273.62,,52.338642,4.913023,5.227,23,25,50
82,231,65,277.96,,52.33862,4.9129753,4.781,23,34,49
83,301,62,282.51,,52.338604,4.9129148,4.715,23,46,54
