time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque
0,0,,0,0.0,,,
1,0,,83,0.0,,,
2,0,0,83,0.0,0.0,11,0
3,0,0,82,0.0,0.0,11,0
4,0,0,82,0.0,0.0,11,0
5,0,0,81,0.0,0.0,11,0
6,0,1,81,0.0,0.0,11,0
7,1,26,81,0.0,0.0,11,0
8,12,31,80,3.33,1.856,11,4
9,97,42,80,6.77,2.869,11,22
10,159,69,79,11.95,5.169,11,22
11,220,73,78,17.34,5.662,11,29
12,246,79,78,25.73,6.303,11,30
13,194,83,79,29.97,6.42,11,22
14,174,84,80,37.3,6.512,11,20
15,174,83,82,44.28,6.599,11,20
16,173,84,84,49.3,6.633,11,20
17,170,85,86,56.99,6.666,11,19
18,173,85,88,62.86,6.774,11,19
19,175,87,91,68.5,6.825,11,19
20,174,85,93,76.25,6.865,11,20
21,172,85,95,84.66,6.812,11,19
22,168,85,96,88.95,6.754,11,19
23,167,85,96,94.53,6.754,11,19
24,172,80,95,100.12,6.716,11,21
25,171,80,95,108.35,6.585,11,20
26,169,84,96,112.59,6.608,11,19
27,171,87,97,121.72,6.827,11,19
28,182,85,97,128.7,6.887,11,20
29,181,87,98,134.49,6.855,11,20
30,175,85,99,143.32,6.809,11,20
31,173,85,100,149.89,6.795,11,19
32,173,85,101,154.88,6.804,11,19
33,177,87,102,161.71,6.851,11,19
34,181,88,103,168.8,6.932,11,20
35,182,89,104,175.36,6.967,11,20
36,181,87,105,183.55,7.019,11,20
37,179,87,106,189.37,6.997,11,20
38,175,89,107,198.04,6.942,11,19
39,173,91,108,204.01,7.006,11,18
40,178,91,108,207.98,7.154,11,19
41,184,92,109,214.36,7.265,11,19
42,188,92,110,222.51,7.38,11,20
43,182,92,111,230.86,7.332,11,19
44,171,92,111,236.21,7.288,11,18
45,169,90,112,246.43,7.241,11,18
46,168,92,113,249.18,7.179,11,17
47,170,91,114,261.16,7.147,11,18
48,173,91,115,266.75,7.188,11,18
49,175,92,116,272.33,7.227,11,18
50,181,91,116,280.25,7.263,11,19
51,181,91,117,288.65,7.263,11,19
52,178,90,117,292.92,7.207,11,19
53,173,91,117,301.3,7.157,11,18
54,173,91,117,309.27,7.154,11,18
55,178,91,117,314.86,7.15,11,19
56,179,90,117,321.96,7.151,11,19
57,180,90,116,328.12,7.163,11,19
58,180,90,116,336.81,7.18,11,19
59,179,90,115,342.97,7.115,11,19
60,175,90,114,349.7,7.125,11,19
61,178,90,113,353.35,7.128,11,19
62,181,91,113,364.33,7.188,11,19
63,181,91,114,370.7,7.197,11,19
64,179,91,114,377.61,7.23,11,19
65,180,91,115,386.65,7.273,11,19
66,181,92,115,391.01,7.289,11,19
67,179,91,117,397.79,7.287,11,19
68,177,91,117,402.79,7.267,11,19
69,176,91,118,412.54,7.263,11,18
70,176,92,118,419.06,7.263,11,18
71,178,91,119,425.72,7.263,11,19
72,178,91,120,434.23,7.248,11,19
73,178,92,120,441.73,7.29,11,18
74,179,92,121,449.31,7.263,11,19
75,177,90,122,456.86,7.24,11,19
76,175,92,122,461.1,7.238,11,18
77,178,91,122,471.3,7.26,11,19
78,180,92,122,477.18,7.263,11,19
79,179,92,122,483.81,7.258,11,19
80,178,91,122,491.59,7.239,11,19
81,176,91,122,496.82,7.213,11,18
82,177,91,123,505.17,7.238,11,19
83,180,91,123,511.54,7.238,11,19
84,179,91,123,518.28,7.218,11,19
85,179,91,123,526.24,7.253,11,19
86,181,91,124,530.31,7.263,11,19
87,180,92,124,537.41,7.258,11,19
88,177,92,124,545.3,7.246,11,18
89,177,91,124,553.1,7.238,11,19
90,177,92,124,558.83,7.226,11,18
91,176,91,124,568.27,7.213,11,18
92,177,91,124,574.89,7.213,11,19
93,180,91,124,582.56,7.213,11,19
94,179,90,124,589.33,7.213,11,19
95,178,90,124,595.77,7.181,11,19
96,175,91,124,602.75,7.14,11,18
97,177,90,124,607.31,7.15,11,19
98,180,91,124,617.26,7.152,11,19
99,180,90,124,623.02,7.187,11,19
100,180,91,124,629.26,7.179,11,19
101,179,90,124,637.69,7.15,11,19
102,177,89,124,645.27,7.115,11,19
103,176,90,124,652.28,7.053,11,19
104,175,89,124,658.67,7.051,11,19
105,178,87,124,665.53,7.034,11,20
106,177,89,124,672.34,6.946,11,19
107,174,91,124,679.6,6.982,11,18
108,183,89,124,686.07,7.102,11,20
109,191,90,125,691.87,7.173,11,20
110,187,90,125,696.04,7.164,11,20
111,180,90,125,707.08,7.13,11,19
112,175,89,125,714.59,7.128,11,19
113,177,90,125,719.73,7.147,11,19
114,180,90,125,728.1,7.177,11,19
115,179,91,125,735.24,7.184,11,19
116,178,91,124,740.95,7.187,11,19
117,177,91,124,747.43,7.186,11,19
118,177,90,124,757.5,7.179,11,19
119,177,90,123,759.68,7.163,11,19
120,173,89,123,768.08,7.087,11,19
121,174,88,123,777.78,7.05,11,19
122,178,89,123,781.88,7.079,11,19
123,181,89,123,789.11,7.083,11,19
124,181,88,123,797.5,7.056,11,20
125,176,86,123,803.6,6.965,11,20
126,172,88,123,810.13,6.923,11,19
127,174,87,123,816.22,6.925,11,19
128,179,88,123,822.38,6.948,11,19
129,183,88,122,830.79,7.033,11,20
130,184,88,122,836.93,7.045,11,20
131,180,89,122,843.92,7.024,11,19
132,177,88,121,851.92,7.034,11,19
133,177,88,121,855.66,7.049,11,19
134,179,90,121,864.8,7.057,11,19
135,182,90,121,871.93,7.093,11,19
136,182,90,121,878.32,7.13,11,19
137,180,90,121,885.83,7.153,11,19
138,178,92,121,892.14,7.187,11,18
139,179,91,121,899.46,7.199,11,19
140,177,91,121,904.88,7.15,11,19
141,176,91,121,913.47,7.154,11,18
142,176,89,121,921.42,7.126,11,19
143,178,90,122,927.01,7.126,11,19
144,177,90,122,934.2,7.104,11,19
145,175,91,122,941.65,7.095,11,18
146,178,91,122,946.41,7.116,11,19
147,183,90,121,955.19,7.2,11,19
148,183,90,121,961.0,7.213,11,19
149,179,90,121,966.79,7.193,11,19
150,176,90,121,974.18,7.151,11,19
151,174,89,121,983.93,7.125,11,19
152,174,89,122,990.19,7.101,11,19
153,176,89,122,996.46,7.089,11,19
154,177,90,122,1001.16,7.089,11,19
155,180,90,122,1008.2,7.089,11,19
156,180,90,122,1016.22,7.096,11,19
